blind_id,candidate_id,image_id,run_date,reviewer_label,reviewer_confidence,reviewer_note,needs_second_review,suggested_human_label,review_batch,next_action,agreement,label_valid,confidence_valid
BR-034,1356976983-0402,N1356976983,2000-12-31,,,,,uncertain,02_temporal_persistence_check,priority_temporal_review,unlabeled,yes,yes
BR-035,1357667285-0194,N1357667285,2001-01-08,,,,,cosmic-ray-hot-pixel,05_low_priority_hold,review_as_negative_example,unlabeled,yes,yes
BR-036,1356981455-0109,N1356981455,2000-12-31,,,,,uncertain,02_temporal_persistence_check,priority_temporal_review,unlabeled,yes,yes
BR-037,1356990399-0030,N1356990399,2000-12-31,,,,,uncertain,02_temporal_persistence_check,priority_temporal_review,unlabeled,yes,yes
BR-038,1358117118-0283,N1358117118,2001-01-13,,,,,cosmic-ray-hot-pixel,03_negative_artifact_examples,review_as_negative_example,unlabeled,yes,yes
BR-039,1357676116-0127,N1357676116,2001-01-08,,,,,cosmic-ray-hot-pixel,05_low_priority_hold,review_as_negative_example,unlabeled,yes,yes
BR-040,1356990399-0013,N1356990399,2000-12-31,,,,,uncertain,02_temporal_persistence_check,priority_temporal_review,unlabeled,yes,yes
BR-041,1358099796-0108,N1358099796,2001-01-13,,,,,uncertain,04_strong_single_frame_check,single_frame_visual_review,unlabeled,yes,yes
BR-042,1357685285-0112,N1357685285,2001-01-08,,,,,uncertain,04_strong_single_frame_check,single_frame_visual_review,unlabeled,yes,yes
BR-043,1358063287-0194,N1358063287,2001-01-13,,,,,cosmic-ray-hot-pixel,03_negative_artifact_examples,review_as_negative_example,unlabeled,yes,yes
BR-044,1356985927-0308,N1356985927,2000-12-31,,,,,uncertain,02_temporal_persistence_check,priority_temporal_review,unlabeled,yes,yes
BR-045,1358063287-0001,N1358063287,2001-01-13,,,,,cosmic-ray-hot-pixel,03_negative_artifact_examples,review_as_negative_example,unlabeled,yes,yes
BR-046,1357810970-0239,N1357810970,2001-01-10,,,,,known-lightning,01_known_validation_positive,confirm_known_validation_mark,unlabeled,yes,yes
BR-047,1357676116-0023,N1357676116,2001-01-08,,,,,cosmic-ray-hot-pixel,05_low_priority_hold,review_as_negative_example,unlabeled,yes,yes
BR-048,1356981845-0194,N1356981845,2000-12-31,,,,,cosmic-ray-hot-pixel,05_low_priority_hold,review_as_negative_example,unlabeled,yes,yes
BR-049,1357029177-0148,N1357029177,2001-01-01,,,,,known-lightning,01_known_validation_positive,confirm_known_validation_mark,unlabeled,yes,yes
BR-050,1358108118-0149,N1358108118,2001-01-13,,,,,cosmic-ray-hot-pixel,05_low_priority_hold,review_as_negative_example,unlabeled,yes,yes
BR-051,1357628584-0070,N1357628584,2001-01-08,,,,,uncertain,04_strong_single_frame_check,single_frame_visual_review,unlabeled,yes,yes
BR-052,1356990399-0080,N1356990399,2000-12-31,,,,,uncertain,02_temporal_persistence_check,priority_temporal_review,unlabeled,yes,yes
BR-053,1357664584-0715,N1357664584,2001-01-08,,,,,uncertain,05_low_priority_hold,single_frame_visual_review,unlabeled,yes,yes
BR-054,1356990399-0202,N1356990399,2000-12-31,,,,,uncertain,02_temporal_persistence_check,priority_temporal_review,unlabeled,yes,yes
BR-055,1357685285-0182,N1357685285,2001-01-08,,,,,cosmic-ray-hot-pixel,03_negative_artifact_examples,review_as_negative_example,unlabeled,yes,yes
BR-056,1358063118-0152,N1358063118,2001-01-13,,,,,cosmic-ray-hot-pixel,05_low_priority_hold,review_as_negative_example,unlabeled,yes,yes
BR-057,1358108287-0236,N1358108287,2001-01-13,,,,,cosmic-ray-hot-pixel,05_low_priority_hold,review_as_negative_example,unlabeled,yes,yes
BR-058,1357685116-0155,N1357685116,2001-01-08,,,,,cosmic-ray-hot-pixel,05_low_priority_hold,review_as_negative_example,unlabeled,yes,yes
BR-059,1356985927-0074,N1356985927,2000-12-31,,,,,uncertain,02_temporal_persistence_check,priority_temporal_review,unlabeled,yes,yes
BR-060,1357667794-0108,N1357667794,2001-01-08,,,,,uncertain,05_low_priority_hold,single_frame_visual_review,unlabeled,yes,yes
BR-061,1357667116-1600,N1357667116,2001-01-08,,,,,uncertain,04_strong_single_frame_check,single_frame_visual_review,unlabeled,yes,yes
BR-062,1357646584-0889,N1357646584,2001-01-08,,,,,uncertain,05_low_priority_hold,single_frame_visual_review,unlabeled,yes,yes
BR-063,1356985927-0055,N1356985927,2000-12-31,,,,,uncertain,02_temporal_persistence_check,priority_temporal_review,unlabeled,yes,yes
BR-064,1356976983-0286,N1356976983,2000-12-31,,,,,uncertain,02_temporal_persistence_check,temporal_review,unlabeled,yes,yes
BR-065,1357691416-0701,N1357691416,2001-01-09,,,,,cosmic-ray-hot-pixel,03_negative_artifact_examples,review_as_negative_example,unlabeled,yes,yes
BR-066,1357685285-0093,N1357685285,2001-01-08,,,,,uncertain,04_strong_single_frame_check,single_frame_visual_review,unlabeled,yes,yes
BR-067,1358114587-0079,N1358114587,2001-01-13,,,,,uncertain,04_strong_single_frame_check,single_frame_visual_review,unlabeled,yes,yes
BR-068,1357667285-0006,N1357667285,2001-01-08,,,,,uncertain,05_low_priority_hold,single_frame_visual_review,unlabeled,yes,yes
BR-069,1357811330-0399,N1357811330,2001-01-10,,,,,uncertain,04_strong_single_frame_check,single_frame_visual_review,unlabeled,yes,yes
BR-070,1357658284-0195,N1357658284,2001-01-08,,,,,uncertain,04_strong_single_frame_check,single_frame_visual_review,unlabeled,yes,yes
BR-071,1357352003-0192,N1357352003,2001-01-05,,,,,uncertain,04_strong_single_frame_check,single_frame_visual_review,unlabeled,yes,yes
BR-072,1356977373-0211,N1356977373,2000-12-31,,,,,cosmic-ray-hot-pixel,05_low_priority_hold,review_as_negative_example,unlabeled,yes,yes
BR-073,1356985927-0198,N1356985927,2000-12-31,,,,,uncertain,02_temporal_persistence_check,temporal_review,unlabeled,yes,yes
BR-074,1356990399-0086,N1356990399,2000-12-31,,,,,uncertain,02_temporal_persistence_check,priority_temporal_review,unlabeled,yes,yes
BR-075,1356985927-0173,N1356985927,2000-12-31,,,,,uncertain,02_temporal_persistence_check,temporal_review,unlabeled,yes,yes
BR-076,1356985927-0012,N1356985927,2000-12-31,,,,,uncertain,02_temporal_persistence_check,priority_temporal_review,unlabeled,yes,yes
BR-077,1357352003-0194,N1357352003,2001-01-05,,,,,uncertain,04_strong_single_frame_check,single_frame_visual_review,unlabeled,yes,yes
BR-078,1358105418-1483,N1358105418,2001-01-13,,,,,uncertain,04_strong_single_frame_check,single_frame_visual_review,unlabeled,yes,yes
BR-079,1357811330-0216,N1357811330,2001-01-10,,,,,cosmic-ray-hot-pixel,03_negative_artifact_examples,review_as_negative_example,unlabeled,yes,yes
BR-080,1357685116-0026,N1357685116,2001-01-08,,,,,cosmic-ray-hot-pixel,03_negative_artifact_examples,review_as_negative_example,unlabeled,yes,yes
BR-081,1357685285-0055,N1357685285,2001-01-08,,,,,uncertain,05_low_priority_hold,single_frame_visual_review,unlabeled,yes,yes
BR-082,1357685285-0071,N1357685285,2001-01-08,,,,,uncertain,05_low_priority_hold,single_frame_visual_review,unlabeled,yes,yes
BR-083,1358117118-0033,N1358117118,2001-01-13,,,,,uncertain,05_low_priority_hold,single_frame_visual_review,unlabeled,yes,yes
BR-084,1356985927-0245,N1356985927,2000-12-31,,,,,uncertain,02_temporal_persistence_check,priority_temporal_review,unlabeled,yes,yes
BR-085,1357811330-0392,N1357811330,2001-01-10,,,,,cosmic-ray-hot-pixel,03_negative_artifact_examples,review_as_negative_example,unlabeled,yes,yes
BR-086,1357806858-0226,N1357806858,2001-01-10,,,,,cosmic-ray-hot-pixel,03_negative_artifact_examples,review_as_negative_example,unlabeled,yes,yes
BR-087,1357673416-1543,N1357673416,2001-01-08,,,,,uncertain,05_low_priority_hold,single_frame_visual_review,unlabeled,yes,yes
BR-088,1357658284-0216,N1357658284,2001-01-08,,,,,cosmic-ray-hot-pixel,05_low_priority_hold,review_as_negative_example,unlabeled,yes,yes
BR-089,1356990399-0348,N1356990399,2000-12-31,,,,,uncertain,02_temporal_persistence_check,temporal_review,unlabeled,yes,yes
BR-090,1357029177-0219,N1357029177,2001-01-01,,,,,known-lightning,01_known_validation_positive,confirm_known_validation_mark,unlabeled,yes,yes
BR-091,1357352003-0267,N1357352003,2001-01-05,,,,,cosmic-ray-hot-pixel,03_negative_artifact_examples,review_as_negative_example,unlabeled,yes,yes
BR-092,1357682416-0008,N1357682416,2001-01-08,,,,,uncertain,04_strong_single_frame_check,single_frame_visual_review,unlabeled,yes,yes
BR-093,1356985927-0141,N1356985927,2000-12-31,,,,,uncertain,02_temporal_persistence_check,priority_temporal_review,unlabeled,yes,yes
BR-094,1356976983-0161,N1356976983,2000-12-31,,,,,uncertain,02_temporal_persistence_check,priority_temporal_review,unlabeled,yes,yes
BR-095,1357673585-0019,N1357673585,2001-01-08,,,,,uncertain,05_low_priority_hold,single_frame_visual_review,unlabeled,yes,yes
BR-096,1357810970-0228,N1357810970,2001-01-10,,,,,known-lightning,01_known_validation_positive,confirm_known_validation_mark,unlabeled,yes,yes
BR-097,1357667285-0063,N1357667285,2001-01-08,,,,,uncertain,04_strong_single_frame_check,single_frame_visual_review,unlabeled,yes,yes
BR-098,1357674094-0052,N1357674094,2001-01-08,,,,,uncertain,04_strong_single_frame_check,single_frame_visual_review,unlabeled,yes,yes
BR-099,1356976983-0095,N1356976983,2000-12-31,,,,,uncertain,02_temporal_persistence_check,temporal_review,unlabeled,yes,yes
BR-100,1357649284-0201,N1357649284,2001-01-08,,,,,cosmic-ray-hot-pixel,05_low_priority_hold,review_as_negative_example,unlabeled,yes,yes
BR-101,1356981455-0275,N1356981455,2000-12-31,,,,,uncertain,02_temporal_persistence_check,priority_temporal_review,unlabeled,yes,yes
BR-102,1358108287-0180,N1358108287,2001-01-13,,,,,cosmic-ray-hot-pixel,03_negative_artifact_examples,review_as_negative_example,unlabeled,yes,yes
BR-103,1357885387-0203,N1357885387,2001-01-11,,,,,known-lightning,01_known_validation_positive,confirm_known_validation_mark,unlabeled,yes,yes
BR-104,1356985927-0162,N1356985927,2000-12-31,,,,,uncertain,02_temporal_persistence_check,priority_temporal_review,unlabeled,yes,yes
BR-105,1356990399-0056,N1356990399,2000-12-31,,,,,uncertain,02_temporal_persistence_check,priority_temporal_review,unlabeled,yes,yes
BR-106,1358114587-0121,N1358114587,2001-01-13,,,,,uncertain,05_low_priority_hold,single_frame_visual_review,unlabeled,yes,yes
