candidate_id,image_id,run_date,observation_time,x,y,jupiter_latitude,jupiter_longitude,latitude_convention,longitude_convention,geometry_status,geometry_method,geometry_error,geometry_group_id,geometry_group_size
1356990399-0193,N1356990399,2000-12-31,2000-12-31T21:34:28.797,744.43,625.61,-38.467850464667,126.63703885891,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0007,1
1356990399-0086,N1356990399,2000-12-31,2000-12-31T21:34:28.797,647.43,332.24,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1356990399-0056,N1356990399,2000-12-31,2000-12-31T21:34:28.797,218.44,234.51,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1356990399-0263,N1356990399,2000-12-31,2000-12-31T21:34:28.797,382.48,864.12,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1356990399-0348,N1356990399,2000-12-31,2000-12-31T21:34:28.797,734.98,945.68,-19.498363564443,136.47519932903,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0008,1
1356990399-0279,N1356990399,2000-12-31,2000-12-31T21:34:28.797,859.48,919.10,-21.003167289041,144.12581283065,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0009,1
1356976983-0161,N1356976983,2000-12-31,2000-12-31T17:50:52.890,62.82,480.68,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1356976983-0147,N1356976983,2000-12-31,2000-12-31T17:50:52.890,718.12,439.44,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1356976983-0402,N1356976983,2000-12-31,2000-12-31T17:50:52.890,713.50,944.42,-19.588498125818,0.9972016545193,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0010,1
1356976983-0095,N1356976983,2000-12-31,2000-12-31T17:50:52.890,389.49,311.88,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1356976983-0286,N1356976983,2000-12-31,2000-12-31T17:50:52.890,349.71,798.22,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1356985927-0141,N1356985927,2000-12-31,2000-12-31T20:19:56.828,730.33,432.12,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1356985927-0245,N1356985927,2000-12-31,2000-12-31T20:19:56.828,612.58,709.56,-33.103812227185,73.55436548413,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0011,1
1356985927-0162,N1356985927,2000-12-31,2000-12-31T20:19:56.828,835.23,498.82,-46.870068684847,81.924999390721,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0012,1
1356985927-0123,N1356985927,2000-12-31,2000-12-31T20:19:56.828,515.70,403.81,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1356985927-0197,N1356985927,2000-12-31,2000-12-31T20:19:56.828,116.23,575.74,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1356985927-0308,N1356985927,2000-12-31,2000-12-31T20:19:56.828,922.55,771.33,-29.415542195377,100.95947254616,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0013,1
1356985927-0012,N1356985927,2000-12-31,2000-12-31T20:19:56.828,493.50,54.00,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1356985927-0354,N1356985927,2000-12-31,2000-12-31T20:19:56.828,558.34,822.42,-26.396134938044,73.785546630117,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0014,1
1356985927-0074,N1356985927,2000-12-31,2000-12-31T20:19:56.828,905.42,252.21,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1356985927-0055,N1356985927,2000-12-31,2000-12-31T20:19:56.828,451.71,196.90,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1356985927-0189,N1356985927,2000-12-31,2000-12-31T20:19:56.828,752.72,567.15,-42.162323371848,78.816350133459,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0015,1
1356985927-0173,N1356985927,2000-12-31,2000-12-31T20:19:56.828,180.25,527.56,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1356985927-0198,N1356985927,2000-12-31,2000-12-31T20:19:56.828,433.66,575.91,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1356981455-0275,N1356981455,2000-12-31,2000-12-31T19:05:24.859,343.62,791.13,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1356981455-0109,N1356981455,2000-12-31,2000-12-31T19:05:24.859,909.59,321.38,-61.668256647767,2.5299032005726,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0016,1
1357685116-0026,N1357685116,2001-01-08,2001-01-08T22:32:25.006,715.00,96.00,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1357685116-0155,N1357685116,2001-01-08,2001-01-08T22:32:25.006,402.00,601.00,-60.150072958397,286.11139130804,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0017,1
1357806858-0398,N1357806858,2001-01-10,2001-01-10T08:21:26.143,402.00,601.00,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1357806858-0226,N1357806858,2001-01-10,2001-01-10T08:21:26.143,623.00,335.00,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1357811330-0392,N1357811330,2001-01-10,2001-01-10T09:35:58.112,402.00,601.00,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1357811330-0216,N1357811330,2001-01-10,2001-01-10T09:35:58.112,623.00,335.00,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1357811330-0180,N1357811330,2001-01-10,2001-01-10T09:35:58.112,637.48,276.04,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1357811330-0399,N1357811330,2001-01-10,2001-01-10T09:35:58.112,807.98,614.96,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1358063118-0224,N1358063118,2001-01-13,2001-01-13T07:32:24.388,988.00,902.00,12.139024633574,154.31711472855,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0018,2
1358063118-0152,N1358063118,2001-01-13,2001-01-13T07:32:24.388,402.00,601.00,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1357352003-0215,N1357352003,2001-01-05,2001-01-05T02:01:10.293,402.00,601.00,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1357352003-0267,N1357352003,2001-01-05,2001-01-05T02:01:10.293,731.00,735.00,12.401037986826,153.42069870696,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0018,2
1357352003-0272,N1357352003,2001-01-05,2001-01-05T02:01:10.293,626.87,751.47,13.694442029577,143.6470702677,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0019,1
1357352003-0194,N1357352003,2001-01-05,2001-01-05T02:01:10.293,380.15,543.48,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1357352003-0192,N1357352003,2001-01-05,2001-01-05T02:01:10.293,823.83,535.84,-0.049891033407621,161.5260716277,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0020,1
1357691416-0701,N1357691416,2001-01-09,2001-01-09T00:17:24.962,522.00,747.00,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1358117118-0283,N1358117118,2001-01-13,2001-01-13T22:32:24.014,318.00,946.00,-46.526268523625,351.97005327965,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0021,1
1358117118-0033,N1358117118,2001-01-13,2001-01-13T22:32:24.014,979.81,140.15,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1358117118-0135,N1358117118,2001-01-13,2001-01-13T22:32:24.014,402.00,601.00,-59.110740583318,308.29535242588,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0022,1
1358108287-0180,N1358108287,2001-01-13,2001-01-13T20:04:41.083,402.00,601.00,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1358108287-0236,N1358108287,2001-01-13,2001-01-13T20:04:41.083,731.00,735.00,37.949668693698,234.28618594922,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0023,1
1358117287-0194,N1358117287,2001-01-13,2001-01-13T22:34:41.021,402.00,601.00,-58.891888358129,310.55894225808,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0024,1
1358117287-0242,N1358117287,2001-01-13,2001-01-13T22:34:41.021,731.00,735.00,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1358063287-0194,N1358063287,2001-01-13,2001-01-13T07:34:41.395,402.00,601.00,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1358063287-0001,N1358063287,2001-01-13,2001-01-13T07:34:41.395,492.00,4.00,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1358063287-0234,N1358063287,2001-01-13,2001-01-13T07:34:41.395,731.00,735.00,36.395786957258,142.1144049498,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0025,1
1358063287-0081,N1358063287,2001-01-13,2001-01-13T07:34:41.395,399.00,299.00,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1357685285-0182,N1357685285,2001-01-08,2001-01-08T22:34:42.013,402.00,601.00,-59.805462637166,287.79622044266,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0026,1
1357685285-0112,N1357685285,2001-01-08,2001-01-08T22:34:42.013,474.82,382.50,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1357685285-0093,N1357685285,2001-01-08,2001-01-08T22:34:42.013,504.70,306.29,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1357685285-0055,N1357685285,2001-01-08,2001-01-08T22:34:42.013,906.18,154.87,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1357685285-0071,N1357685285,2001-01-08,2001-01-08T22:34:42.013,587.04,220.95,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1357685285-0216,N1357685285,2001-01-08,2001-01-08T22:34:42.013,731.00,735.00,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1357658284-0162,N1357658284,2001-01-08,2001-01-08T15:04:41.200,402.00,601.00,-58.81754671478,17.726318851818,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0027,1
1357658284-0195,N1357658284,2001-01-08,2001-01-08T15:04:41.200,713.61,689.45,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1357658284-0216,N1357658284,2001-01-08,2001-01-08T15:04:41.200,731.00,735.00,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1357676285-0173,N1357676285,2001-01-08,2001-01-08T20:04:42.075,402.00,601.00,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1357676285-0213,N1357676285,2001-01-08,2001-01-08T20:04:42.075,731.00,735.00,42.554595362348,210.10841944405,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0028,1
1357649284-0160,N1357649284,2001-01-08,2001-01-08T12:34:41.262,402.00,601.00,-58.71856780572,287.07350945875,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0029,1
1357649284-0201,N1357649284,2001-01-08,2001-01-08T12:34:41.262,731.00,735.00,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1357667285-0154,N1357667285,2001-01-08,2001-01-08T17:34:42.137,402.00,601.00,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1357667285-0063,N1357667285,2001-01-08,2001-01-08T17:34:42.137,164.06,271.23,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1357667285-0006,N1357667285,2001-01-08,2001-01-08T17:34:42.137,164.95,31.31,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1357667285-0194,N1357667285,2001-01-08,2001-01-08T17:34:42.137,731.00,735.00,42.550813027243,120.10934982878,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0030,1
1357631284-0168,N1357631284,2001-01-08,2001-01-08T07:34:41.386,402.00,601.00,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1358099796-0108,N1358099796,2001-01-13,2001-01-13T17:44:18.165,812.74,818.98,28.719675455444,157.17578390852,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0031,1
1358105418-1483,N1358105418,2001-01-13,2001-01-13T19:17:24.095,28.87,888.11,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1357646415-0076,N1357646415,2001-01-08,2001-01-08T11:47:24.274,689.56,470.36,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1358114587-0079,N1358114587,2001-01-13,2001-01-13T21:49:41.040,259.57,429.91,-41.651519767025,290.33276753625,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0032,1
1358114587-0121,N1358114587,2001-01-13,2001-01-13T21:49:41.040,622.86,585.04,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1357628584-0070,N1357628584,2001-01-08,2001-01-08T06:49:41.405,939.70,418.53,23.963280604949,88.396732394068,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0033,1
1357637415-0069,N1357637415,2001-01-08,2001-01-08T09:17:24.336,95.74,471.57,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1357665093-0016,N1357665093,2001-01-08,2001-01-08T16:59:18.176,807.46,164.30,34.807030847785,73.894146891675,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0034,1
1357682416-0008,N1357682416,2001-01-08,2001-01-08T21:47:25.025,428.07,73.69,-63.523336249378,205.00775710531,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0035,1
1357667116-1600,N1357667116,2001-01-08,2001-01-08T17:32:25.131,367.96,1009.04,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1357667116-0147,N1357667116,2001-01-08,2001-01-08T17:32:25.131,402.00,601.00,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1357674094-0052,N1357674094,2001-01-08,2001-01-08T19:29:19.113,316.82,479.90,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1357638093-0061,N1357638093,2001-01-08,2001-01-08T09:29:18.363,717.61,548.63,43.102822791574,192.19968424847,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0036,1
1357667794-0108,N1357667794,2001-01-08,2001-01-08T17:44:19.157,895.25,681.83,27.844049261239,122.31216994665,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0037,1
1357664584-0715,N1357664584,2001-01-08,2001-01-08T16:49:41.156,153.93,752.40,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1357673416-1543,N1357673416,2001-01-08,2001-01-08T19:17:25.087,158.93,814.90,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1357673585-0019,N1357673585,2001-01-08,2001-01-08T19:19:42.094,98.12,89.79,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1357646584-0889,N1357646584,2001-01-08,2001-01-08T11:49:41.281,616.14,779.43,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1358108118-0149,N1358108118,2001-01-13,2001-01-13T20:02:24.077,402.00,601.00,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1356981845-0194,N1356981845,2000-12-31,2000-12-31T19:11:54.857,402.00,601.00,4.563762302617,27.456615669649,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0038,1
1357658115-0139,N1357658115,2001-01-08,2001-01-08T15:02:24.193,402.00,601.00,-59.104557284666,16.439236840575,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0039,1
1357649115-0135,N1357649115,2001-01-08,2001-01-08T12:32:24.255,402.00,601.00,-59.007953056346,285.77235229696,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0040,1
1357676116-0127,N1357676116,2001-01-08,2001-01-08T20:02:25.068,402.00,601.00,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1357676116-0023,N1357676116,2001-01-08,2001-01-08T20:02:25.068,133.00,117.00,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1356977373-0211,N1356977373,2000-12-31,2000-12-31T17:57:22.887,402.00,601.00,4.4097434059788,341.92004163994,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0041,1
