review_rank,candidate_id,image_id,image_number,run_date,x,y,snr,blob_size,artifact_flags,candidate_score,next_action,suggested_label,human_label,confidence,reviewer,review_note,review_stage,needs_second_review,reviewed_at
32,1356985927-0189,N1356985927,1356985927,2000-12-31,752.72,567.15,33.22,9,,0.6904,temporal_review,uncertain,,,,,first-review,,
33,1356985927-0173,N1356985927,1356985927,2000-12-31,180.25,527.56,12.51,3,,0.6868,temporal_review,uncertain,,,,,first-review,,
34,1356976983-0095,N1356976983,1356976983,2000-12-31,389.49,311.88,19.69,4,,0.6753,temporal_review,uncertain,,,,,first-review,,
35,1356985927-0198,N1356985927,1356985927,2000-12-31,433.66,575.91,41.70,3,,0.6735,temporal_review,uncertain,,,,,first-review,,
36,1356976983-0286,N1356976983,1356976983,2000-12-31,349.71,798.22,44.32,5,,0.6687,temporal_review,uncertain,,,,,first-review,,
37,1357352003-0272,N1357352003,1357352003,2001-01-05,626.87,751.47,564.80,11,,0.4375,single_frame_visual_review,uncertain,,,,,first-review,,
38,1357811330-0180,N1357811330,1357811330,2001-01-10,637.48,276.04,434.10,9,,0.4375,single_frame_visual_review,uncertain,,,,,first-review,,
39,1357811330-0399,N1357811330,1357811330,2001-01-10,807.98,614.96,428.93,34,,0.4375,single_frame_visual_review,uncertain,,,,,first-review,,
40,1358099796-0108,N1358099796,1358099796,2001-01-13,812.74,818.98,371.83,10,,0.4375,single_frame_visual_review,uncertain,,,,,first-review,,
41,1357658284-0195,N1357658284,1357658284,2001-01-08,713.61,689.45,370.72,16,,0.4375,single_frame_visual_review,uncertain,,,,,first-review,,
42,1358105418-1483,N1358105418,1358105418,2001-01-13,28.87,888.11,363.68,17,,0.4375,single_frame_visual_review,uncertain,,,,,first-review,,
43,1357667285-0063,N1357667285,1357667285,2001-01-08,164.06,271.23,363.49,9,,0.4375,single_frame_visual_review,uncertain,,,,,first-review,,
44,1357646415-0076,N1357646415,1357646415,2001-01-08,689.56,470.36,305.50,8,,0.4375,single_frame_visual_review,uncertain,,,,,first-review,,
45,1358114587-0079,N1358114587,1358114587,2001-01-13,259.57,429.91,229.84,9,,0.4375,single_frame_visual_review,uncertain,,,,,first-review,,
46,1357628584-0070,N1357628584,1357628584,2001-01-08,939.70,418.53,223.82,11,,0.4375,single_frame_visual_review,uncertain,,,,,first-review,,
47,1357352003-0194,N1357352003,1357352003,2001-01-05,380.15,543.48,164.61,8,,0.4375,single_frame_visual_review,uncertain,,,,,first-review,,
48,1357637415-0069,N1357637415,1357637415,2001-01-08,95.74,471.57,284.94,7,,0.4125,single_frame_visual_review,uncertain,,,,,first-review,,
49,1357665093-0016,N1357665093,1357665093,2001-01-08,807.46,164.30,395.79,6,,0.3875,single_frame_visual_review,uncertain,,,,,first-review,,
50,1357685285-0112,N1357685285,1357685285,2001-01-08,474.82,382.50,379.47,6,,0.3875,single_frame_visual_review,uncertain,,,,,first-review,,
51,1357682416-0008,N1357682416,1357682416,2001-01-08,428.07,73.69,317.53,6,,0.3875,single_frame_visual_review,uncertain,,,,,first-review,,
52,1357685285-0093,N1357685285,1357685285,2001-01-08,504.70,306.29,162.69,6,,0.3875,single_frame_visual_review,uncertain,,,,,first-review,,
53,1357352003-0192,N1357352003,1357352003,2001-01-05,823.83,535.84,564.80,5,,0.3625,single_frame_visual_review,uncertain,,,,,first-review,,
54,1357667116-1600,N1357667116,1357667116,2001-01-08,367.96,1009.04,402.78,5,,0.3625,single_frame_visual_review,uncertain,,,,,first-review,,
55,1357674094-0052,N1357674094,1357674094,2001-01-08,316.82,479.90,203.84,5,,0.3625,single_frame_visual_review,uncertain,,,,,first-review,,
56,1357638093-0061,N1357638093,1357638093,2001-01-08,717.61,548.63,173.37,5,,0.3625,single_frame_visual_review,uncertain,,,,,first-review,,
57,1357667285-0006,N1357667285,1357667285,2001-01-08,164.95,31.31,287.36,4,,0.3375,single_frame_visual_review,uncertain,,,,,first-review,,
58,1357667794-0108,N1357667794,1357667794,2001-01-08,895.25,681.83,270.60,4,,0.3375,single_frame_visual_review,uncertain,,,,,first-review,,
59,1357685285-0055,N1357685285,1357685285,2001-01-08,906.18,154.87,255.45,4,,0.3375,single_frame_visual_review,uncertain,,,,,first-review,,
60,1357664584-0715,N1357664584,1357664584,2001-01-08,153.93,752.40,243.76,4,,0.3375,single_frame_visual_review,uncertain,,,,,first-review,,
61,1358117118-0033,N1358117118,1358117118,2001-01-13,979.81,140.15,184.23,4,,0.3375,single_frame_visual_review,uncertain,,,,,first-review,,
62,1357673416-1543,N1357673416,1357673416,2001-01-08,158.93,814.90,178.46,4,,0.3375,single_frame_visual_review,uncertain,,,,,first-review,,
63,1357673585-0019,N1357673585,1357673585,2001-01-08,98.12,89.79,250.98,3,,0.3125,single_frame_visual_review,uncertain,,,,,first-review,,
64,1357685285-0071,N1357685285,1357685285,2001-01-08,587.04,220.95,205.82,3,,0.3125,single_frame_visual_review,uncertain,,,,,first-review,,
65,1357646584-0889,N1357646584,1357646584,2001-01-08,616.14,779.43,205.13,3,,0.3125,single_frame_visual_review,uncertain,,,,,first-review,,
66,1358114587-0121,N1358114587,1358114587,2001-01-13,622.86,585.04,178.89,3,,0.3125,single_frame_visual_review,uncertain,,,,,first-review,,
67,1357685116-0026,N1357685116,1357685116,2001-01-08,715.00,96.00,366.52,1,single_pixel|too_small,0.0000,review_as_negative_example,artifact,,,,,first-review,,
68,1357806858-0398,N1357806858,1357806858,2001-01-10,402.00,601.00,296.12,1,single_pixel|too_small,0.0000,review_as_negative_example,artifact,,,,,first-review,,
69,1357811330-0392,N1357811330,1357811330,2001-01-10,402.00,601.00,292.83,1,single_pixel|too_small,0.0000,review_as_negative_example,artifact,,,,,first-review,,
70,1358063118-0224,N1358063118,1358063118,2001-01-13,988.00,902.00,200.02,1,single_pixel|too_small,0.0000,review_as_negative_example,artifact,,,,,first-review,,
71,1357352003-0215,N1357352003,1357352003,2001-01-05,402.00,601.00,191.47,1,single_pixel|too_small,0.0000,review_as_negative_example,artifact,,,,,first-review,,
72,1357691416-0701,N1357691416,1357691416,2001-01-09,522.00,747.00,176.83,1,single_pixel|too_small,0.0000,review_as_negative_example,artifact,,,,,first-review,,
73,1358117118-0283,N1358117118,1358117118,2001-01-13,318.00,946.00,172.49,1,single_pixel|too_small,0.0000,review_as_negative_example,artifact,,,,,first-review,,
74,1357806858-0226,N1357806858,1357806858,2001-01-10,623.00,335.00,152.87,1,single_pixel|too_small,0.0000,review_as_negative_example,artifact,,,,,first-review,,
75,1358108287-0180,N1358108287,1358108287,2001-01-13,402.00,601.00,151.10,1,single_pixel|too_small,0.0000,review_as_negative_example,artifact,,,,,first-review,,
76,1357352003-0267,N1357352003,1357352003,2001-01-05,731.00,735.00,150.99,1,single_pixel|too_small,0.0000,review_as_negative_example,artifact,,,,,first-review,,
77,1357811330-0216,N1357811330,1357811330,2001-01-10,623.00,335.00,150.48,1,single_pixel|too_small,0.0000,review_as_negative_example,artifact,,,,,first-review,,
78,1358117287-0194,N1358117287,1358117287,2001-01-13,402.00,601.00,150.02,1,single_pixel|too_small,0.0000,review_as_negative_example,artifact,,,,,first-review,,
79,1358063287-0194,N1358063287,1358063287,2001-01-13,402.00,601.00,148.97,1,single_pixel|too_small,0.0000,review_as_negative_example,artifact,,,,,first-review,,
80,1357685285-0182,N1357685285,1357685285,2001-01-08,402.00,601.00,147.11,1,single_pixel|too_small,0.0000,review_as_negative_example,artifact,,,,,first-review,,
81,1357658284-0162,N1357658284,1357658284,2001-01-08,402.00,601.00,144.03,1,single_pixel|too_small,0.0000,review_as_negative_example,artifact,,,,,first-review,,
82,1357676285-0173,N1357676285,1357676285,2001-01-08,402.00,601.00,143.75,1,single_pixel|too_small,0.0000,review_as_negative_example,artifact,,,,,first-review,,
83,1357649284-0160,N1357649284,1357649284,2001-01-08,402.00,601.00,143.46,1,single_pixel|too_small,0.0000,review_as_negative_example,artifact,,,,,first-review,,
84,1357667285-0154,N1357667285,1357667285,2001-01-08,402.00,601.00,141.09,1,single_pixel|too_small,0.0000,review_as_negative_example,artifact,,,,,first-review,,
85,1358063287-0001,N1358063287,1358063287,2001-01-13,492.00,4.00,139.15,1,single_pixel|too_small,0.0000,review_as_negative_example,artifact,,,,,first-review,,
86,1357631284-0168,N1357631284,1357631284,2001-01-08,402.00,601.00,137.63,1,single_pixel|too_small,0.0000,review_as_negative_example,artifact,,,,,first-review,,
87,1358117287-0242,N1358117287,1358117287,2001-01-13,731.00,735.00,132.23,1,single_pixel|too_small,0.0000,review_as_negative_example,artifact,,,,,first-review,,
88,1358108118-0149,N1358108118,1358108118,2001-01-13,402.00,601.00,131.08,1,single_pixel|too_small,0.0000,review_as_negative_example,artifact,,,,,first-review,,
89,1358108287-0236,N1358108287,1358108287,2001-01-13,731.00,735.00,129.94,1,single_pixel|too_small,0.0000,review_as_negative_example,artifact,,,,,first-review,,
90,1357685285-0216,N1357685285,1357685285,2001-01-08,731.00,735.00,129.72,1,single_pixel|too_small,0.0000,review_as_negative_example,artifact,,,,,first-review,,
91,1358063118-0152,N1358063118,1358063118,2001-01-13,402.00,601.00,129.67,1,single_pixel|too_small,0.0000,review_as_negative_example,artifact,,,,,first-review,,
92,1357685116-0155,N1357685116,1357685116,2001-01-08,402.00,601.00,128.88,1,single_pixel|too_small,0.0000,review_as_negative_example,artifact,,,,,first-review,,
93,1358063287-0234,N1358063287,1358063287,2001-01-13,731.00,735.00,128.50,1,single_pixel|too_small,0.0000,review_as_negative_example,artifact,,,,,first-review,,
94,1356981845-0194,N1356981845,1356981845,2000-12-31,402.00,601.00,128.17,1,single_pixel|too_small,0.0000,review_as_negative_example,artifact,,,,,first-review,,
95,1357649284-0201,N1357649284,1357649284,2001-01-08,731.00,735.00,127.78,1,single_pixel|too_small,0.0000,review_as_negative_example,artifact,,,,,first-review,,
96,1357658284-0216,N1357658284,1357658284,2001-01-08,731.00,735.00,126.73,1,single_pixel|too_small,0.0000,review_as_negative_example,artifact,,,,,first-review,,
97,1358117118-0135,N1358117118,1358117118,2001-01-13,402.00,601.00,125.33,1,single_pixel|too_small,0.0000,review_as_negative_example,artifact,,,,,first-review,,
98,1357658115-0139,N1357658115,1357658115,2001-01-08,402.00,601.00,123.82,1,single_pixel|too_small,0.0000,review_as_negative_example,artifact,,,,,first-review,,
99,1357667116-0147,N1357667116,1357667116,2001-01-08,402.00,601.00,122.69,1,single_pixel|too_small,0.0000,review_as_negative_example,artifact,,,,,first-review,,
100,1357649115-0135,N1357649115,1357649115,2001-01-08,402.00,601.00,121.56,1,single_pixel|too_small,0.0000,review_as_negative_example,artifact,,,,,first-review,,
101,1357676116-0127,N1357676116,1357676116,2001-01-08,402.00,601.00,121.05,1,single_pixel|too_small,0.0000,review_as_negative_example,artifact,,,,,first-review,,
102,1357676285-0213,N1357676285,1357676285,2001-01-08,731.00,735.00,121.05,1,single_pixel|too_small,0.0000,review_as_negative_example,artifact,,,,,first-review,,
103,1357676116-0023,N1357676116,1357676116,2001-01-08,133.00,117.00,120.42,1,single_pixel|too_small,0.0000,review_as_negative_example,artifact,,,,,first-review,,
104,1358063287-0081,N1358063287,1358063287,2001-01-13,399.00,299.00,120.21,1,single_pixel|too_small,0.0000,review_as_negative_example,artifact,,,,,first-review,,
105,1357667285-0194,N1357667285,1357667285,2001-01-08,731.00,735.00,118.79,1,single_pixel|too_small,0.0000,review_as_negative_example,artifact,,,,,first-review,,
106,1356977373-0211,N1356977373,1356977373,2000-12-31,402.00,601.00,118.77,1,single_pixel|too_small,0.0000,review_as_negative_example,artifact,,,,,first-review,,
