review_order,review_batch,candidate_id,image_id,run_date,x,y,crop_url,next_action,suggested_human_label,reviewer_task,snr,blob_size,artifact_flags,frame_count,motion_consistency,candidate_score,review_note_prompt
19,02_temporal_persistence_check,1356990399-0056,N1356990399,2000-12-31,218.44,234.51,/api/detection-crop?image=1356990399&x=218&y=235&crop=128,priority_temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,46.05,4,,3,0.840,0.7166,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
20,02_temporal_persistence_check,1356985927-0197,N1356985927,2000-12-31,116.23,575.74,/api/detection-crop?image=1356985927&x=116&y=576&crop=128,priority_temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,47.55,5,,3,0.914,0.7160,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
21,02_temporal_persistence_check,1356985927-0308,N1356985927,2000-12-31,922.55,771.33,/api/detection-crop?image=1356985927&x=923&y=771&crop=128,priority_temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,16.06,3,,3,0.789,0.7097,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
22,02_temporal_persistence_check,1356990399-0263,N1356990399,2000-12-31,382.48,864.12,/api/detection-crop?image=1356990399&x=382&y=864&crop=128,priority_temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,43.14,3,,3,0.857,0.7018,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
23,02_temporal_persistence_check,1356981455-0275,N1356981455,2000-12-31,343.62,791.13,/api/detection-crop?image=1356981455&x=344&y=791&crop=128,priority_temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,38.33,10,,3,0.781,0.6962,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
24,02_temporal_persistence_check,1356981455-0109,N1356981455,2000-12-31,909.59,321.38,/api/detection-crop?image=1356981455&x=910&y=321&crop=128,priority_temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,14.01,3,,3,0.994,0.6950,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
25,02_temporal_persistence_check,1356985927-0012,N1356985927,2000-12-31,493.50,54.00,/api/detection-crop?image=1356985927&x=494&y=54&crop=128,priority_temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,11.67,4,,3,0.981,0.6917,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
26,02_temporal_persistence_check,1356985927-0354,N1356985927,2000-12-31,558.34,822.42,/api/detection-crop?image=1356985927&x=558&y=822&crop=128,priority_temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,14.54,5,,3,0.847,0.6866,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
27,02_temporal_persistence_check,1356976983-0402,N1356976983,2000-12-31,713.50,944.42,/api/detection-crop?image=1356976983&x=714&y=944&crop=128,priority_temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,8.78,13,,3,0.984,0.6862,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
28,02_temporal_persistence_check,1356985927-0074,N1356985927,2000-12-31,905.42,252.21,/api/detection-crop?image=1356985927&x=905&y=252&crop=128,priority_temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,35.64,3,,3,0.779,0.6822,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
29,02_temporal_persistence_check,1356985927-0055,N1356985927,2000-12-31,451.71,196.90,/api/detection-crop?image=1356985927&x=452&y=197&crop=128,priority_temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,44.99,3,,3,0.776,0.6815,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
30,02_temporal_persistence_check,1356990399-0348,N1356990399,2000-12-31,734.98,945.68,/api/detection-crop?image=1356990399&x=735&y=946&crop=128,temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,8.34,3,,3,0.685,0.7089,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
31,02_temporal_persistence_check,1356990399-0279,N1356990399,2000-12-31,859.48,919.10,/api/detection-crop?image=1356990399&x=859&y=919&crop=128,temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,16.78,6,,3,0.744,0.6985,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
32,02_temporal_persistence_check,1356985927-0189,N1356985927,2000-12-31,752.72,567.15,/api/detection-crop?image=1356985927&x=753&y=567&crop=128,temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,33.22,9,,3,0.412,0.6904,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
33,02_temporal_persistence_check,1356985927-0173,N1356985927,2000-12-31,180.25,527.56,/api/detection-crop?image=1356985927&x=180&y=528&crop=128,temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,12.51,3,,3,0.671,0.6868,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
34,02_temporal_persistence_check,1356976983-0095,N1356976983,2000-12-31,389.49,311.88,/api/detection-crop?image=1356976983&x=389&y=312&crop=128,temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,19.69,4,,3,0.739,0.6753,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
35,02_temporal_persistence_check,1356985927-0198,N1356985927,2000-12-31,433.66,575.91,/api/detection-crop?image=1356985927&x=434&y=576&crop=128,temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,41.70,3,,3,0.744,0.6735,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
36,02_temporal_persistence_check,1356976983-0286,N1356976983,2000-12-31,349.71,798.22,/api/detection-crop?image=1356976983&x=350&y=798&crop=128,temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,44.32,5,,3,0.725,0.6687,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
